EventId_x,Type_x,Severity_x,StartTime(UTC),EndTime(UTC)_x,TimeZone_x,LocationLat_x,LocationLng_x,AirportCode_x,City,County_x,State,ZipCode_x,EventId_y,Type_y,Severity_y,TMC,Description,EndTime(UTC)_y,TimeZone_y,LocationLat_y,LocationLng_y,Distance(mi),AirportCode_y,Number,Street,Side,County_y,ZipCode_y,adjacency
W-1124542,Rain,Light,2016-08-05 19:04:00,2016-08-05 19:19:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1110348,Congestion,1.0,73.0,Delays of two minutes on US-1 Federal Hwy Southbound between 6th St and 2nd St. Average speed five mph.,2016-08-05 19:01:19,US/Eastern,26.230654,-80.102852,0.0,KPMP,129.0,S Federal Hwy,R,Broward,33062.0,1
W-1124544,Rain,Light,2016-08-06 20:31:00,2016-08-06 21:05:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1111351,Congestion,1.0,72.0,Delays of three minutes on US-1 Federal Hwy Southbound between FL-5 and 23rd Ct. Average speed five mph.,2016-08-06 20:02:46,US/Eastern,26.260273,-80.099663,0.0,KPMP,2325.0,N Federal Hwy,L,Broward,33062.0,1
W-1124549,Rain,Light,2016-08-07 20:09:00,2016-08-07 22:09:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1111619,Congestion,1.0,72.0,Delays of three minutes on US-441 State Road 7 Southbound between FL-7 and Regency Lakes Blvd. Average speed five mph.,2016-08-07 21:09:47,US/Eastern,26.309408,-80.202309,0.0,KFXE,6465.0,N State Road 7,L,Broward,33067.0,1
W-1124553,Rain,Light,2016-08-08 05:53:00,2016-08-08 07:53:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1111719,Congestion,2.0,74.0,Delays increasing and delays of four minutes on Florida's Tpke Southbound between FL-834 Sample Rd and FL-814 Atlantic Blvd. Average speed 20 mph.,2016-08-08 07:01:39,US/Eastern,26.23391,-80.175499,0.0,KFXE,,Florida's Tpke S,R,Broward,33066.0,1
W-1124554,Rain,Light,2016-08-08 16:25:00,2016-08-08 16:43:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1112187,Congestion,2.0,70.0,Severe delays of ten minutes on US-1 Federal Hwy Southbound between 23rd St and 14th Street Cswy. Average speed five mph.,2016-08-08 17:24:37,US/Eastern,26.250423,-80.101059,0.0,KPMP,1399.0,N Federal Hwy,L,Broward,33060.0,1
W-1124555,Rain,Light,2016-08-08 17:08:00,2016-08-08 17:53:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1112187,Congestion,2.0,70.0,Severe delays of ten minutes on US-1 Federal Hwy Southbound between 23rd St and 14th Street Cswy. Average speed five mph.,2016-08-08 17:24:37,US/Eastern,26.250423,-80.101059,0.0,KPMP,1399.0,N Federal Hwy,L,Broward,33060.0,1
W-1124556,Rain,Light,2016-08-08 18:09:00,2016-08-08 19:53:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1112248,Congestion,1.0,72.0,Delays of two minutes on US-1 Federal Hwy Southbound between US-1 Federal Hwy and FL-834 Sample Rd. Average speed five mph.,2016-08-08 18:13:10,US/Eastern,26.275492,-80.097527,0.0,KPMP,,E Sample Rd,R,Broward,33064.0,1
W-1124557,Rain,Light,2016-08-08 20:53:00,2016-08-09 00:53:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1112492,Congestion,2.0,70.0,Severe delays of 22 minutes on NW 31st Ave Southbound between 31st Ave and FL-814 Atlantic Blvd. Average speed five mph.,2016-08-08 21:05:28,US/Eastern,26.231474,-80.16555,0.0,KFXE,,W Atlantic Blvd,R,Broward,33069.0,1
W-1124558,Rain,Light,2016-08-09 20:11:00,2016-08-09 20:53:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1113740,Congestion,1.0,73.0,Delays of two minutes on US-1 Federal Hwy Southbound between 24th St and 22nd St. Average speed five mph.,2016-08-09 20:30:33,US/Eastern,26.258705,-80.099892,0.0,KPMP,,N Federal Hwy,R,Broward,33062.0,1
W-1124559,Rain,Light,2016-08-09 21:05:00,2016-08-09 22:35:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1113842,Congestion,1.0,72.0,Delays of two minutes on US-1 Federal Hwy Southbound in Deerfield Beach. Average speed five mph.,2016-08-09 21:13:37,US/Eastern,26.27578,-80.097488,0.0,KPMP,3611.0,N Federal Hwy,L,Broward,33064.0,1
W-1124560,Rain,Light,2016-08-09 23:53:00,2016-08-10 00:53:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1114338,Congestion,1.0,71.0,Delays of three minutes on US-1 Federal Hwy Southbound between US-1 Federal Hwy and 49th St. Average speed five mph.,2016-08-09 23:31:14,US/Eastern,26.2917,-80.095192,0.0,KPMP,,N Federal Hwy,R,Broward,33064.0,1
W-1124561,Rain,Light,2016-08-10 15:05:00,2016-08-10 15:14:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1114852,Congestion,2.0,72.0,Delays of seven minutes on US-1 Federal Hwy Southbound between 9th St and 2nd St. Average speed five mph.,2016-08-10 15:50:38,US/Eastern,26.230654,-80.102852,0.0,KPMP,129.0,S Federal Hwy,R,Broward,33062.0,1
W-1124562,Rain,Light,2016-08-10 18:13:00,2016-08-10 19:10:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1115007,Broken-Vehicle,3.0,211.0,Right hand shoulder blocked due to stalled vehicle on I-95 Northbound before Exits 36 36A 36B FL-814 Atlantic Blvd.,2016-08-10 19:04:09,US/Eastern,26.231586,-80.136581,0.0,KFXE,,W Atlantic Blvd,R,Broward,33069.0,1
W-1124563,Rain,Light,2016-08-10 19:45:00,2016-08-10 20:29:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1115159,Congestion,1.0,73.0,Delays of three minutes on US-1 Federal Hwy Southbound between US-1 Federal Hwy and 2nd St. Average speed ten mph.,2016-08-10 20:16:47,US/Eastern,26.230654,-80.102852,0.0,KPMP,129.0,S Federal Hwy,R,Broward,33062.0,1
W-1124564,Rain,Light,2016-08-10 20:36:00,2016-08-10 21:24:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1115287,Congestion,1.0,73.0,Delays of one minute on US-1 Federal Hwy Southbound between 9th St and 3rd St. Average speed 15 mph.,2016-08-10 20:55:48,US/Eastern,26.229578,-80.102806,0.0,KPMP,245.0,S Federal Hwy,R,Broward,33062.0,1
W-1124566,Rain,Light,2016-08-12 11:49:00,2016-08-12 12:41:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1117163,Congestion,1.0,75.0,Delays of two minutes on Florida's Tpke Northbound in Coral Springs. Average speed 35 mph.,2016-08-12 11:52:48,US/Eastern,26.206976,-80.198128,0.0,KFXE,,Ronald Reagan Tpke,R,Broward,33068.0,1
W-1124575,Rain,Light,2016-08-15 09:53:00,2016-08-15 10:21:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1119181,Accident,3.0,201.0,Left lane blocked due to accident on I-95 Southbound before Exits 38 38A 38B Copans Rd.,2016-08-15 10:57:26,US/Eastern,26.260412,-80.133423,0.0,KFXE,,W Copans Rd,R,Broward,33069.0,1
W-1124576,Rain,Light,2016-08-15 19:50:00,2016-08-15 19:53:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1119815,Broken-Vehicle,3.0,211.0,Queueing traffic and right hand shoulder blocked due to stalled vehicle on I-95 Northbound at Exits 36 36A 36B / FL-814 Atlantic Blvd / Atlantic Blvd.,2016-08-15 21:14:20,US/Eastern,26.231586,-80.136581,0.0,KFXE,,W Atlantic Blvd,R,Broward,33069.0,1
W-1124577,Rain,Light,2016-08-16 03:53:00,2016-08-16 04:22:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1120355,Congestion,1.0,74.0,Delays of two minutes on I-95 Southbound between Exits 38 38A 38B Copans Rd and Exits 36 36A 36B FL-814 Atlantic Blvd. Average speed 15 mph.,2016-08-16 04:08:02,US/Eastern,26.236416,-80.13662,0.0,KFXE,,I-95 S,R,Broward,33069.0,1
W-1124578,Rain,Light,2016-08-16 12:48:00,2016-08-16 13:01:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1120764,Congestion,1.0,75.0,Delays of two minutes and delays easing on I-95 Southbound between Exit 39 FL-834 Sample Rd and Exits 36 36A 36B FL-814 Atlantic Blvd. Average speed 35 mph.,2016-08-16 12:57:42,US/Eastern,26.228659,-80.136543,0.0,KFXE,,I-95 S,R,Broward,33069.0,1
W-1124580,Rain,Light,2016-08-17 12:37:00,2016-08-17 12:53:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1122407,Accident,3.0,201.0,Left lane blocked due to accident on I-95 Northbound at Exit 39 FL-834 Sample Rd.,2016-08-17 12:56:35,US/Eastern,26.274832,-80.125206,0.0,KPMP,,NW 36th St,R,Broward,33064.0,1
W-1124581,Rain,Moderate,2016-08-17 12:53:00,2016-08-17 12:58:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1122407,Accident,3.0,201.0,Left lane blocked due to accident on I-95 Northbound at Exit 39 FL-834 Sample Rd.,2016-08-17 12:56:35,US/Eastern,26.274832,-80.125206,0.0,KPMP,,NW 36th St,R,Broward,33064.0,1
W-1124582,Rain,Light,2016-08-17 12:58:00,2016-08-17 13:05:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1122407,Accident,3.0,201.0,Left lane blocked due to accident on I-95 Northbound at Exit 39 FL-834 Sample Rd.,2016-08-17 12:56:35,US/Eastern,26.274832,-80.125206,0.0,KPMP,,NW 36th St,R,Broward,33064.0,1
W-1124583,Rain,Moderate,2016-08-17 13:05:00,2016-08-17 13:53:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1122407,Accident,3.0,201.0,Left lane blocked due to accident on I-95 Northbound at Exit 39 FL-834 Sample Rd.,2016-08-17 12:56:35,US/Eastern,26.274832,-80.125206,0.0,KPMP,,NW 36th St,R,Broward,33064.0,1
W-1124588,Rain,Light,2016-08-17 15:42:00,2016-08-17 15:53:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1122697,Congestion,2.0,71.0,Delays of five minutes on US-1 Federal Hwy Southbound between 9th St and 8th St. Average speed five mph.,2016-08-17 16:45:49,US/Eastern,26.239258,-80.102615,0.0,KPMP,795.0,N Federal Hwy,L,Broward,33060.0,1
W-1124589,Rain,Light,2016-08-17 22:44:00,2016-08-17 23:11:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1123431,Congestion,1.0,73.0,Delays of two minutes on US-1 Federal Hwy Southbound between 2nd St and 4th St. Average speed five mph.,2016-08-17 23:28:40,US/Eastern,26.228857,-80.102776,0.0,KPMP,301.0,S Federal Hwy,R,Broward,33062.0,1
W-1124593,Rain,Light,2016-08-24 10:30:00,2016-08-24 12:53:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1129630,Congestion,3.0,71.0,Severe delays of 19 minutes and delays increasing on FL-869 Sawgrass Expy Westbound between Lyons Rd and FL-817 University Dr. Average speed five mph.,2016-08-24 11:54:57,US/Eastern,26.300478,-80.209602,0.0,KFXE,,Sawgrass Expy,R,Broward,33067.0,1
W-1124598,Rain,Light,2016-08-25 23:34:00,2016-08-26 03:22:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1131984,Broken-Vehicle,3.0,211.0,Right hand shoulder blocked due to stalled vehicle on I-95 Northbound at Exits 38 / Copans Rd.,2016-08-26 00:44:51,US/Eastern,26.260412,-80.133423,0.0,KFXE,,W Copans Rd,R,Broward,33069.0,1
W-1124601,Rain,Light,2016-08-26 21:09:00,2016-08-26 21:24:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1133217,Congestion,1.0,72.0,Delays of two minutes on US-1 Federal Hwy Southbound between 31st St and 29th St. Average speed five mph.,2016-08-26 21:17:21,US/Eastern,26.267155,-80.098694,0.0,KPMP,2883.0,N Federal Hwy,L,Broward,33064.0,1
W-1124602,Rain,Light,2016-08-26 22:29:00,2016-08-26 22:51:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1133567,Congestion,1.0,72.0,Delays of two minutes on US-1 Federal Hwy Southbound between US-1 Federal Hwy and FL-834 Sample Rd. Average speed five mph.,2016-08-26 22:36:11,US/Eastern,26.275759,-80.097488,0.0,KPMP,3611.0,N Federal Hwy,L,Broward,33064.0,1
W-1124603,Rain,Light,2016-08-27 00:38:00,2016-08-27 00:53:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1133667,Congestion,1.0,73.0,Delays of two minutes on FL-5 Federal Hwy Southbound in Pompano Beach. Average speed five mph.,2016-08-27 01:24:57,US/Eastern,26.211178,-80.107018,0.0,KPMP,1551.0,S Federal Hwy,R,Broward,33062.0,1
W-1124607,Rain,Light,2016-08-28 18:53:00,2016-08-28 19:43:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1134120,Congestion,2.0,74.0,Delays of three minutes on I-95 Northbound between Exits 36 36A 36B FL-814 Atlantic Blvd and Exit 39 FL-834 Sample Rd. Average speed 20 mph.,2016-08-28 19:05:10,US/Eastern,26.261221,-80.132393,0.0,KPMP,,I-95 N,R,Broward,33064.0,1
W-1124608,Rain,Moderate,2016-08-28 19:43:00,2016-08-28 19:50:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1134128,Flow-Incident,1.0,214.0,Delays of one minute on I-95 Northbound between Exits 33 33B Cypress Creek Rd and Exits 36 36A 36B FL-814 Atlantic Blvd.,2016-08-28 19:56:25,US/Eastern,26.22204,-80.136238,0.0,KPMP,,I-95 N,R,Broward,33060.0,1
W-1124609,Rain,Heavy,2016-08-28 19:50:00,2016-08-28 20:04:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1134128,Flow-Incident,1.0,214.0,Delays of one minute on I-95 Northbound between Exits 33 33B Cypress Creek Rd and Exits 36 36A 36B FL-814 Atlantic Blvd.,2016-08-28 19:56:25,US/Eastern,26.22204,-80.136238,0.0,KPMP,,I-95 N,R,Broward,33060.0,1
W-1124610,Rain,Light,2016-08-28 20:04:00,2016-08-28 20:19:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1134128,Flow-Incident,1.0,214.0,Delays of one minute on I-95 Northbound between Exits 33 33B Cypress Creek Rd and Exits 36 36A 36B FL-814 Atlantic Blvd.,2016-08-28 19:56:25,US/Eastern,26.22204,-80.136238,0.0,KPMP,,I-95 N,R,Broward,33060.0,1
W-1124614,Rain,Light,2016-08-29 15:22:00,2016-08-29 15:53:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1134892,Construction,2.0,407.0,Exit ramp closed due to accident on FL-869 Sawgrass Expy Southbound at Exit 8 FL-814 Atlantic Blvd.,2016-08-29 15:33:13,US/Eastern,26.233311,-80.295959,0.0,KFXE,,W Atlantic Blvd,R,Broward,33071.0,1
W-1124615,Rain,Light,2016-08-29 17:53:00,2016-08-29 18:53:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1135032,Congestion,2.0,70.0,Severe delays of twelve minutes and delays easing on SW 3rd St Westbound between 12th Ave and Lucky Ln. Average speed five mph.,2016-08-29 19:05:34,US/Eastern,26.226608,-80.15036,0.0,KFXE,2071.0,SW 3rd St,L,Broward,33069.0,1
W-1124619,Rain,Light,2016-08-30 16:53:00,2016-08-30 19:42:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1136661,Congestion,1.0,71.0,Delays of two minutes on US-1 Federal Hwy Southbound between 15th St and 14th Street Cswy. Average speed five mph.,2016-08-30 17:44:55,US/Eastern,26.250149,-80.101089,0.0,KPMP,1381.0,N Federal Hwy,L,Broward,33060.0,1
W-1124620,Fog,Severe,2016-08-30 19:42:00,2016-08-30 19:47:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1136887,Congestion,1.0,73.0,Delays of one minute on US-441 State Road 7 Southbound between 74th Pl and Holmberg Rd. Average speed 15 mph.,2016-08-30 19:53:58,US/Eastern,26.312023,-80.202385,0.0,KFXE,,N State Road 7,R,Broward,33067.0,1
W-1124621,Rain,Light,2016-08-30 19:47:00,2016-08-30 20:16:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1136887,Congestion,1.0,73.0,Delays of one minute on US-441 State Road 7 Southbound between 74th Pl and Holmberg Rd. Average speed 15 mph.,2016-08-30 19:53:58,US/Eastern,26.312023,-80.202385,0.0,KFXE,,N State Road 7,R,Broward,33067.0,1
W-1124622,Fog,Severe,2016-08-30 20:16:00,2016-08-30 20:36:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1137051,Congestion,2.0,71.0,Delays of five minutes on US-1 Federal Hwy Southbound between US-1 Federal Hwy and FL-834 Sample Rd. Average speed five mph.,2016-08-30 20:34:52,US/Eastern,26.275759,-80.097488,0.0,KPMP,3611.0,N Federal Hwy,L,Broward,33064.0,1
W-1124623,Rain,Light,2016-08-30 20:36:00,2016-08-30 20:43:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1137106,Congestion,1.0,73.0,Delays of one minute on US-1 Federal Hwy Southbound between US-1 Federal Hwy and FL-814 Atlantic Blvd. Average speed 15 mph.,2016-08-30 20:44:02,US/Eastern,26.231768,-80.102898,0.0,KPMP,2099.0,E Atlantic Blvd,L,Broward,33060.0,1
W-1124624,Rain,Moderate,2016-08-30 20:43:00,2016-08-30 21:03:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1137106,Congestion,1.0,73.0,Delays of one minute on US-1 Federal Hwy Southbound between US-1 Federal Hwy and FL-814 Atlantic Blvd. Average speed 15 mph.,2016-08-30 20:44:02,US/Eastern,26.231768,-80.102898,0.0,KPMP,2099.0,E Atlantic Blvd,L,Broward,33060.0,1
W-1124625,Rain,Light,2016-08-30 21:03:00,2016-08-30 21:23:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1137266,Congestion,1.0,72.0,Delays of two minutes on US-1 Federal Hwy Southbound between US-1 Federal Hwy and FL-834 Sample Rd. Average speed five mph.,2016-08-30 21:12:09,US/Eastern,26.275759,-80.097488,0.0,KPMP,3611.0,N Federal Hwy,L,Broward,33064.0,1
W-1124626,Rain,Moderate,2016-08-30 21:23:00,2016-08-30 21:53:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1137538,Congestion,1.0,71.0,Delays of two minutes and delays easing on US-441 State Road 7 Southbound between FL-7 and Wiles Rd. Average speed five mph.,2016-08-30 21:48:14,US/Eastern,26.286203,-80.202065,0.0,KPMP,,N State Road 7,R,Broward,33073.0,1
W-1124627,Rain,Heavy,2016-08-30 21:53:00,2016-08-30 22:53:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1137683,Congestion,2.0,71.0,Severe delays of ten minutes and delays increasing on FL-834 Sample Rd Westbound between 9th Ave and FL-91. Average speed five mph.,2016-08-30 22:23:02,US/Eastern,26.274323,-80.165543,0.0,KPMP,2951.0,W Sample Rd,L,Broward,33073.0,1
W-1124628,Rain,Light,2016-08-30 22:53:00,2016-08-31 01:37:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1137806,Congestion,1.0,71.0,Delays of two minutes on US-1 Federal Hwy Southbound between 15th St and 14th Street Cswy. Average speed five mph.,2016-08-30 23:45:32,US/Eastern,26.250149,-80.101089,0.0,KPMP,1381.0,N Federal Hwy,L,Broward,33060.0,1
W-1124630,Rain,Light,2016-08-31 19:53:00,2016-08-31 21:53:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1138885,Congestion,1.0,72.0,Delays of two minutes on US-1 Federal Hwy Southbound between FL-5 and 23rd Ct. Average speed five mph.,2016-08-31 19:44:07,US/Eastern,26.260273,-80.099663,0.0,KPMP,2325.0,N Federal Hwy,L,Broward,33062.0,1
W-1124637,Rain,Light,2016-09-03 16:53:00,2016-09-03 17:19:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1142002,Congestion,1.0,71.0,Delays of three minutes on US-1 Federal Hwy Southbound between FL-5 and 39th St. Average speed ten mph.,2016-09-03 16:48:16,US/Eastern,26.279741,-80.096916,0.0,KPMP,3943.0,N Federal Hwy,L,Broward,33064.0,1
W-1124638,Rain,Light,2016-09-03 18:18:00,2016-09-03 20:02:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1142085,Accident,3.0,201.0,Right lane blocked due to accident on I-95 at Exit 39 FL-834 Sample Rd.,2016-09-03 18:52:56,US/Eastern,26.274832,-80.125206,0.0,KPMP,,NW 36th St,R,Broward,33064.0,1
W-1124639,Rain,Light,2016-09-03 20:18:00,2016-09-03 20:53:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1142224,Congestion,1.0,73.0,Delays of two minutes and delays easing on US-1 Federal Hwy Southbound between 8th St and US-1 Federal Hwy. Average speed 15 mph.,2016-09-03 21:09:20,US/Eastern,26.223368,-80.103447,0.0,KPMP,741.0,S Federal Hwy,R,Broward,33062.0,1
W-1124641,Rain,Light,2016-09-05 21:22:00,2016-09-05 22:53:00,US/Eastern,26.2464,-80.111,KPMP,Pompano Beach,Broward,FL,33060.0,T-1142880,Broken-Vehicle,3.0,211.0,Delays expected and right hand shoulder blocked due to stalled vehicle on I-95 Southbound at Exit 39 / FL-834 Sample Rd / FL-834 36th St.,2016-09-05 22:42:53,US/Eastern,26.274832,-80.125206,0.0,KPMP,,NW 36th St,R,Broward,33064.0,1
